oreID,oreName,oreNameZh,volume,portionSize,mass,capacity
28402,"Compressed Vitric Hedbergite",高密度玻璃状同位原矿,0.47,1,1e35,0
28403,"Compressed Hemorphite",高密度希莫非特,0.86,1,1e35,0
28404,"Compressed Radiant Hemorphite",高密度辐射希莫非特,0.86,1,1e35,0
28405,"Compressed Vivid Hemorphite",高密度多色希莫非特,0.86,1,1e35,0
28406,"Compressed Jaspet",高密度杰斯贝矿,0.15,1,1e35,0
28407,"Compressed Pristine Jaspet",高密度朴质杰斯贝矿,0.15,1,1e35,0
28408,"Compressed Pure Jaspet",高密度纯杰斯贝矿,0.15,1,1e35,0
28409,"Compressed Fiery Kernite",高密度灼热水硼砂,0.19,1,1e35,0
28410,"Compressed Kernite",高密度水硼砂,0.19,1,1e35,0
28411,"Compressed Luminous Kernite",高密度发光水硼砂,0.19,1,1e35,0
28412,"Compressed Magma Mercoxit",高密度基腹断岩岩浆,0.1,1,1e35,0
28413,"Compressed Mercoxit",高密度基腹断岩,0.1,1,1e35,0
28414,"Compressed Vitreous Mercoxit",高密度玻璃化基腹断岩,0.1,1,1e35,0
28415,"Compressed Golden Omber",高密度金色奥贝尔石,0.3,1,1e35,0
28416,"Compressed Omber",高密度奥贝尔石,0.3,1,1e35,0
28417,"Compressed Silvery Omber",高密度银色奥贝尔石,0.3,1,1e35,0
28418,"Compressed Bright Spodumain",高密度亮灰岩,28,1,1e35,0
28419,"Compressed Gleaming Spodumain",高密度发光灰岩,28,1,1e35,0
28420,"Compressed Spodumain",高密度灰岩,28,1,1e35,0
28421,"Compressed Azure Plagioclase",高密度蓝色斜长岩,0.15,1,1e35,0
28422,"Compressed Plagioclase",高密度斜长岩,0.15,1,1e35,0
28423,"Compressed Rich Plagioclase",高密度富斜长岩,0.15,1,1e35,0
28424,"Compressed Pyroxeres",高密度干焦岩,0.16,1,1e35,0
28425,"Compressed Solid Pyroxeres",高密度固体干焦岩,0.16,1,1e35,0
28426,"Compressed Viscous Pyroxeres",高密度流体干焦岩,0.16,1,1e35,0
28427,"Compressed Condensed Scordite",高密度浓缩灼烧岩,0.19,1,1e35,0
28428,"Compressed Massive Scordite",高密度厚灼烧岩,0.19,1,1e35,0
28429,"Compressed Scordite",高密度灼烧岩,0.19,1,1e35,0
28430,"Compressed Concentrated Veldspar",高密度富凡晶石,0.15,1,4000,0
28431,"Compressed Dense Veldspar",高密度厚质凡晶石,0.15,1,4000,0
28432,"Compressed Veldspar",高密度凡晶石,0.15,1,4000,0
46675,"Jet Ochre",墨黑赭石,8,100,1e35,0
46676,"Cubic Bistot",双多特石立方体,16,100,1e35,0
46677,"Pellucid Crokite",透明克洛基石,16,100,1e35,0
46678,"Flawless Arkonor",无暇艾克诺岩,16,100,1e35,0
46679,"Brilliant Gneiss",光辉片麻岩,5,100,1e35,0
46680,"Lustrous Hedbergite",光辉同位原矿,3,100,1e35,0
46681,"Scintillating Hemorphite",闪烁希莫非特,3,100,1e35,0
46682,"Immaculate Jaspet",洁净杰斯贝矿,2,100,1e35,0
46683,"Resplendant Kernite",华丽水硼砂,1.2,100,1e35,0
46684,"Platinoid Omber",铂族奥贝尔石,0.6,100,1e35,0
46685,"Sparkling Plagioclase",闪耀斜长岩,0.35,100,1e35,0
46686,"Opulent Pyroxeres",丰裕干焦岩,0.3,100,1e35,0
46687,"Glossy Scordite",光泽灼烧岩,0.15,100,1e35,0
46688,"Dazzling Spodumain",璀璨灰岩,16,100,1e35,0
46689,"Stable Veldspar",坚固凡晶石,0.1,100,4000,0
46691,"Compressed Flawless Arkonor",高密度无暇艾克诺岩,8.8,1,1,0
46692,"Compressed Cubic Bistot",高密度双多特石立方体,4.4,1,1,0
46693,"Compressed Pellucid Crokite",高密度透明克洛基石,7.81,1,1,0
46694,"Compressed Jet Ochre",高密度墨黑赭石,4.2,1,1,0
46695,"Compressed Brilliant Gneiss",高密度光辉片麻岩,1.8,1,1,0
46696,"Compressed Lustrous Hedbergite",高密度光辉同位原矿,0.47,1,1,0
46697,"Compressed Scintillating Hemorphite",高密度闪烁希莫非特,0.86,1,1,0
46698,"Compressed Immaculate Jaspet",高密度洁净杰斯贝矿,0.15,1,1,0
46699,"Compressed Resplendant Kernite",高密度华丽水硼砂,0.19,1,1,0
46700,"Compressed Platinoid Omber",高密度铂族奥贝尔石,0.3,1,1,0
46701,"Compressed Sparkling Plagioclase",高密度闪耀斜长岩,0.15,1,1,0
46702,"Compressed Opulent Pyroxeres",高密度丰裕干焦岩,0.16,1,1,0
46703,"Compressed Glossy Scordite",高密度光泽灼烧岩,0.19,1,1,0
46704,"Compressed Dazzling Spodumain",高密度璀璨灰岩,28,1,1,0
46705,"Compressed Stable Veldspar",高密度坚固凡晶石,0.15,1,4000,0
48916,"Cthonic Attar",克斯阿塔,6,100,1e35,0
49787,"Hiemal Tricarboxyl Vapor",冰冷三羧基蒸汽,10,15,0,0
49789,"Hiemal Tricarboxyl Condensate",冰冷三羧基冷凝物,6,100,1e35,0
50015,"Amethystic Crystallite",紫晶羧基沉淀物,3,1000,1e35,0
52306,Talassonite,塔拉岩,16,100,0,0
52315,Rakovene,拉克岩,16,100,0,0
52316,Bezdnacine,贝兹岩,16,100,0,0
56625,"Abyssal Talassonite",深渊塔拉岩,16,100,0,0
56626,"Hadal Talassonite",哈达尔塔拉岩,16,100,0,0
56627,"Abyssal Bezdnacine",深渊贝兹岩,16,100,0,0
56628,"Hadal Bezdnacine",哈达尔贝兹岩,16,100,0,0
56629,"Abyssal Rakovene",深渊拉克岩,16,100,0,0
56630,"Hadal Rakovene",哈达尔拉克岩,16,100,0,0
